unix,low,high,open,close,volume,date,vol_fiat
1619827200,66.7657,71.7459,69.3967,68.6633,39001.599,2021-05-01,2677978.4926167005
1619740800,63.6,70.322,64.2553,69.3431,70482.043,2021-04-30,4887443.355953301
1619654400,61.3117,67.4285,65.7261,64.2553,51125.634,2021-04-29,3285092.9503602004
1619568000,62.5,69.1686,67.656,65.7244,55993.039,2021-04-28,3680108.8924516
1619481600,63.0339,69.181,63.8635,67.5786,45695.665,2021-04-27,3088049.0667689997
1619395200,55.3044,65.213,55.4125,63.8647,67247.277,2021-04-26,4294727.1714219
1619308800,52.9998,62.75,57.8243,55.4124,69022.204,2021-04-25,3824685.9769296
1619222400,57.4187,65.0,62.869,57.844,54137.487,2021-04-24,3131528.798028
1619136000,56.2,67.0443,66.2034,62.8661,90826.117,2021-04-23,5709883.7539337
1619049600,63.9221,75.0,70.6349,66.2034,72863.344,2021-04-22,4823801.1081696
1618963200,70.5,79.3258,78.4198,70.6206,61242.452,2021-04-21,4324978.7057112
1618876800,69.5233,86.8596,85.1965,78.3783,159548.98,2021-04-20,12505177.819134
1618790400,69.2589,85.54,73.6087,85.4245,120374.109,2021-04-19,10282898.0742705
1618704000,66.0013,88.607,88.5603,73.6128,146986.175,2021-04-18,10820063.903039997
1618617600,73.503,91.49,74.2111,88.695,182517.107,2021-04-17,16188354.805364998
1618531200,71.73,75.5,74.7262,74.1081,59917.992,2021-04-16,4440408.542935199
1618444800,71.1801,75.9999,71.8028,74.6254,61207.83,2021-04-15,4567658.796882
1618358400,69.2221,73.99,73.0241,71.8981,56364.324,2021-04-14,4052487.8033844
1618272000,70.6702,76.497,75.425,73.0193,52947.108,2021-04-13,3866160.7631844003
1618185600,72.1171,78.4708,72.63,75.3489,73627.365,2021-04-12,5547740.962648501
1618099200,70.0192,74.1864,72.2516,72.63,67677.55,2021-04-11,4915420.4565
1618012800,72.0116,78.0,76.5066,72.286,69366.078,2021-04-10,5014196.314308
1617926400,70.4003,82.0,72.6429,76.5727,185093.18,2021-04-09,14173084.544186
1617840000,62.7048,75.0,63.1972,72.5139,96728.824,2021-04-08,7014184.2706536
1617753600,62.5,73.7855,69.0984,63.1484,90926.289,2021-04-07,5741849.6682876
1617667200,66.4024,73.9668,67.9125,69.0789,106838.11,2021-04-06,7380259.116879
1617580800,63.68,78.888,66.007,67.9125,330096.467,2021-04-05,22417676.315137498
1617494400,49.75,77.8681,50.12,66.0981,395878.897,2021-04-04,26166842.9217957
1617408000,50.0111,54.85,54.1385,50.1279,45947.763,2021-04-03,2303264.8688876997
1617321600,53.115,56.549,53.8259,54.1183,55792.573,2021-04-02,3019399.2033859
1617235200,51.7742,57.0423,52.3185,53.8162,83725.085,2021-04-01,4505765.919377
1617148800,49.5656,54.7135,52.6999,52.3858,67399.54,2021-03-31,3530778.822532
1617062400,47.3961,56.0,48.2453,52.6999,128208.42,2021-03-30,6756570.9131579995
